Category: All categories

Month,intern: (Kazakhstan)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,44
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,30
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,37
2015-07,0
2015-08,23
2015-09,37
2015-10,53
2015-11,31
2015-12,26
2016-01,52
2016-02,37
2016-03,0
2016-04,24
2016-05,0
2016-06,23
2016-07,0
2016-08,27
2016-09,0
2016-10,0
2016-11,19
2016-12,18
2017-01,0
2017-02,0
2017-03,0
2017-04,21
2017-05,0
2017-06,0
2017-07,19
2017-08,0
2017-09,19
2017-10,17
2017-11,18
2017-12,22
2018-01,0
2018-02,19
2018-03,21
2018-04,23
2018-05,0
2018-06,21
2018-07,16
2018-08,24
2018-09,25
2018-10,25
2018-11,19
2018-12,21
2019-01,23
2019-02,22
2019-03,20
2019-04,17
2019-05,18
2019-06,0
2019-07,0
2019-08,16
2019-09,14
2019-10,0
2019-11,0
2019-12,23
2020-01,27
2020-02,17
2020-03,0
2020-04,13
2020-05,0
2020-06,0
2020-07,14
2020-08,33
2020-09,12
2020-10,0
2020-11,19
2020-12,14
2021-01,23
2021-02,24
2021-03,20
2021-04,14
2021-05,16
2021-06,19
2021-07,15
2021-08,18
2021-09,13
2021-10,14
2021-11,17
2021-12,14
2022-01,20
2022-02,13
2022-03,23
2022-04,20
2022-05,26
2022-06,21
2022-07,29
2022-08,28
2022-09,24
2022-10,37
2022-11,27
2022-12,23
2023-01,38
2023-02,27
2023-03,22
2023-04,16
2023-05,26
2023-06,21
2023-07,22
2023-08,26
2023-09,24
2023-10,23
2023-11,18
2023-12,20
2024-01,24
2024-02,0
2024-03,19
2024-04,35
2024-05,20
2024-06,28
2024-07,33
2024-08,26
2024-09,24
2024-10,24
2024-11,35
2024-12,23
2025-01,34
2025-02,21
2025-03,28
2025-04,33
2025-05,25
2025-06,49
2025-07,71
2025-08,54
2025-09,40
2025-10,36
2025-11,90
2025-12,77
2026-01,100
2026-02,66
2026-03,73
2026-04,42
