id,title,company,city,salary_from,salary_to,currency,experience,employment,schedule,published_at,url,has_test,response_letter_required
131573276,Стажер в BI Education,BI Group,Астана,,,,Нет опыта,Частичная занятость,Полный день,2026-03-26,https://hh.ru/vacancy/131573276,False,False
131576252,"Стажер Kcell Store (по работе с входящим потоком клиентов), г. Актау",Kcell,Актау,85000,,KZT,Нет опыта,Полная занятость,Полный день,2026-03-26,https://hh.ru/vacancy/131576252,False,False
131558291,Стажер HR,"AIR ASTANA, АО",Алматы,,,,Нет опыта,Полная занятость,Полный день,2026-03-26,https://hh.ru/vacancy/131558291,False,False
131576546,Стажер в HR отдел,Alem Agro Holding (АлемАгро Холдинг),Алматы,250000,250000,KZT,Нет опыта,Полная занятость,Полный день,2026-03-26,https://hh.ru/vacancy/131576546,False,False
131071490,Менеджер/ментор по образованию за рубежом,Best English Club,Алматы,300000,700000,KZT,Нет опыта,Полная занятость,Полный день,2026-03-25,https://hh.ru/vacancy/131071490,False,False
130972967,Ассистент маркетингового специалиста,Представительство Тайваньского Торгового Центра в г. Алматы,Алматы,180000,250000,KZT,Нет опыта,Проектная работа,Полный день,2026-03-25,https://hh.ru/vacancy/130972967,False,False
131247335,"Стажер-аналитик отдела продаж (Sales Intern), Алматы",Henkel Central Asia & Caucasus,Алматы,,,,Нет опыта,Полная занятость,Полный день,2026-03-25,https://hh.ru/vacancy/131247335,False,False
131173752,Промоутер-менеджер в турецкий магазин “AquaDeluxe”,UNILIFE,Астана,350000,600000,KZT,Нет опыта,Частичная занятость,Гибкий график,2026-03-24,https://hh.ru/vacancy/131173752,False,False
131434353,Администратор офиса,Innotech inc,Астана,100000,150000,KZT,Нет опыта,Полная занятость,Полный день,2026-03-21,https://hh.ru/vacancy/131434353,False,True
131156959,"Стажер отдела Маркетинга (Marketing Intern), Алматы",Henkel Central Asia & Caucasus,Алматы,,,,Нет опыта,Полная занятость,Полный день,2026-03-24,https://hh.ru/vacancy/131156959,False,False
131358667,Junior Accounting Assistant,OUTSOURCE PRO,Алматы,500,2000,USD,Нет опыта,Полная занятость,Полный день,2026-03-24,https://hh.ru/vacancy/131358667,False,False
131264313,Стажер в отдел по подбору персонала,"Danone, ТМ",Алматы,,,,Нет опыта,Частичная занятость,Полный день,2026-03-16,https://hh.ru/vacancy/131264313,False,False
131156467,"Стажер отдела Маркетинга (Brand Marketing Intern), Алматы",Henkel Central Asia & Caucasus,Алматы,,,,Нет опыта,Полная занятость,Полный день,2026-03-24,https://hh.ru/vacancy/131156467,False,False
131156099,"Стажер отдела торгового маркетинга (Trade Marketing Intern), Алматы",Henkel Central Asia & Caucasus,Алматы,,,,Нет опыта,Полная занятость,Полный день,2026-03-24,https://hh.ru/vacancy/131156099,False,False
131363380,Стажер-Консультант 1С,Rubin Servis,Актобе,,,,Нет опыта,Полная занятость,Полный день,2026-03-19,https://hh.ru/vacancy/131363380,False,False
131198107,Стажер в отдел маркетинговых исследований,"Danone, ТМ",Алматы,,,,Нет опыта,Полная занятость,Полный день,2026-03-13,https://hh.ru/vacancy/131198107,False,False
130484647,Стажер в отдел маркетинга,Нестле Фуд Казахстан,Алматы,,,,Нет опыта,Полная занятость,Полный день,2026-03-18,https://hh.ru/vacancy/130484647,False,False
131425939,Помощник бухгалтера,LC-Audit,Алматы,150000,300000,KZT,Нет опыта,Частичная занятость,Полный день,2026-03-20,https://hh.ru/vacancy/131425939,False,False
131107136,Стажер в управлении по развитию розничного бизнеса,Home Credit Bank (ДБ АО «ForteBank»),Алматы,,,,Нет опыта,Полная занятость,Полный день,2026-03-11,https://hh.ru/vacancy/131107136,False,False
131049949,Официант \ Бармен,Abli Bastau,Алматы,400000,600000,KZT,Нет опыта,Полная занятость,Гибкий график,2026-03-08,https://hh.ru/vacancy/131049949,False,False
130077856,Стажер Kcell Store (по работе с входящим потоком клиентов),Kcell,Уральск,,,,Нет опыта,Полная занятость,Полный день,2026-03-04,https://hh.ru/vacancy/130077856,False,False
130829875,Стажер в отдел по управлению промо-эффективностью и ценообразованию,"Danone, ТМ",Алматы,,,,Нет опыта,Полная занятость,Полный день,2026-02-27,https://hh.ru/vacancy/130829875,False,True
131050011,"HR-ассистент, по адаптации и обучению Команды",BEST TEXTILE,Алматы,90000,180000,KZT,Нет опыта,Полная занятость,Полный день,2026-03-08,https://hh.ru/vacancy/131050011,False,False
130806408,Стажер в отдел бухгалтерии,Нестле Фуд Казахстан,Алматы,,,,Нет опыта,Полная занятость,Полный день,2026-02-26,https://hh.ru/vacancy/130806408,False,False
